movie_id,title,rank,title_ko,title_en,year,open_date_detail,rating,runtime_min,audience_total,genres,country,directors,num_directors,cast_main,num_cast_main,cine21_score_detail,netizen_score
62502,보스,105,보스,,2023,2025-10-03,15세이상관람가,98.0,2435841.0,"코미디, 액션",한국,라희찬,1,"조우진, 정경호, 박지환",3,4.0,5.33
62532,개비의 매직하우스 극장판,106,개비의 매직하우스 극장판,,2025,2025-10-03,전체 관람가,97.0,111688.0,"어드벤처, 가족","미국,캐나다",라이언 크레고,1,"레일라 록하트 크레이너, 크리스틴 위그, 글로리아 에스테판",3,6.0,
62545,배달의 영웅: 캐리와 슈퍼콜라2,107,배달의 영웅: 캐리와 슈퍼콜라2,,2025,2025-10-03,전체 관람가,86.0,28660.0,"애니메이션, SF",한국,권원숙,1,"최정윤, 원옥화, 이다은",3,,
62629,어쩌면 해피엔딩,108,어쩌면 해피엔딩,,2025,2025-10-02,12세이상관람가,95.0,25360.0,"뮤지컬, 멜로·로맨스, SF",한국,이원회,1,"신주협, 강혜인, 유준상",3,5.5,
5567,도그빌,109,도그빌,,2003,2025-10-01,청소년 관람불가,178.0,77357.0,"스릴러, 드라마","네덜란드,노르웨이,덴마크",라스 폰 트리에,1,"니콜 키드먼, 해리엇 안데르손, 로렌 바콜",3,6.75,8.27
61727,연의 편지,110,연의 편지,,2024,2025-10-01,12세이상관람가,96.0,226881.0,애니메이션,한국,김용환,1,"이수현, 김민주, 민승우",3,7.0,6.67
62311,그저 사고였을 뿐,111,그저 사고였을 뿐,,2025,2025-10-01,15세이상관람가,102.0,41876.0,"액션, 범죄, 드라마","이란,프랑스,룩셈부르크",자파르 파나히,1,"바히드 모바셰리, 마리암 아프샤리, 에브라힘 아지지",3,7.25,
62313,미러 넘버 3,112,미러 넘버 3,,2025,2025-10-01,15세이상관람가,86.0,12166.0,"드라마, 미스터리, 스릴러",독일,크리스티안 페촐트,1,"폴라 비어, 바바라 오어, 엔노 트렙스",3,6.0,
62517,동그라미,113,동그라미,,2024,2025-10-01,12세이상관람가,117.0,2051.0,"코미디, 드라마",일본,오기가미 나오코,1,"도모토 츠요시, 아야노 고, 요시오카 리호",3,6.5,
62537,원 배틀 애프터 어나더,114,원 배틀 애프터 어나더,,2025,2025-10-01,15세이상관람가,161.0,531920.0,"액션, 범죄",미국,폴 토마스 앤더슨,1,"레오나르도 디카프리오, 숀 펜, 베니시오 델 토로",3,8.83,8.27
62564,귀목: 피의 혼례,115,귀목: 피의 혼례,,2025,2025-10-01,청소년 관람불가,120.0,4551.0,"미스터리, 공포",베트남,르 반 키엣,1,"램 탄 마이, 후 비, 레 투옛 안",3,,
62565,워킹맨,116,워킹맨,,2025,2025-10-01,청소년 관람불가,116.0,21014.0,"액션, 스릴러, 범죄",미국,데이비드 에이어,1,"제이슨 스테이섬, 제이슨 플레밍, 마이클 페나",3,4.0,6.0
